feature,importance
amplitude,0.2656201657136392
sensory_velocity,0.16410951251670383
csf_protein,0.1184573316139534
motor_velocity,0.11453369501659527
f_wave_latency,0.11396490962081603
conduction_block,0.07876124205063259
age,0.0552666540664469
previous_infection,0.021256211830615754
onset_speed,0.013770181366888347
cranial_nerve_involvement,0.00946403056965365
gender,0.008853998591240687
sensory_loss,0.008757259646374659
paralysis,0.008744143028330424
respiratory_involvement,0.008482816528672967
muscle_weakness,0.00534966105499505
reflex_loss,0.004608186784441104
